-99, 2024-12-13, 08:45:03.094 
-100, 2024-12-13, 08:45:25.119 
-99, 2024-12-13, 08:45:47.231 
-99, 2024-12-13, 08:46:09.095 
-99, 2024-12-13, 08:46:31.081 
-99, 2024-12-13, 08:46:53.097 
-96, 2024-12-13, 08:47:15.105 
-99, 2024-12-13, 08:47:37.092 
-101, 2024-12-13, 08:47:59.154 
-97, 2024-12-13, 08:48:28.174 
-96, 2024-12-13, 08:48:43.087 
-95, 2024-12-13, 08:49:05.125 
-97, 2024-12-13, 08:49:34.148 
-96, 2024-12-13, 08:49:49.087 
-113, 2024-12-13, 08:50:11.100 
-111, 2024-12-13, 08:50:33.109 
