-93, 2024-12-13, 08:22:19.163 
-94, 2024-12-13, 08:22:30.173 
-95, 2024-12-13, 08:22:41.177 
-90, 2024-12-13, 08:22:52.157 
-93, 2024-12-13, 08:23:03.175 
-93, 2024-12-13, 08:23:14.170 
-94, 2024-12-13, 08:23:47.187 
-96, 2024-12-13, 08:23:58.156 
-90, 2024-12-13, 08:24:09.154 
-91, 2024-12-13, 08:24:20.136 
-93, 2024-12-13, 08:24:31.146 
-93, 2024-12-13, 08:24:42.156 
-93, 2024-12-13, 08:24:53.159 
-91, 2024-12-13, 08:25:26.143 
-94, 2024-12-13, 08:25:37.154 
-94, 2024-12-13, 08:25:48.151 
-94, 2024-12-13, 08:26:10.190 
-94, 2024-12-13, 08:26:32.160 
-94, 2024-12-13, 08:26:54.151 
-96, 2024-12-13, 08:27:05.147 
-95, 2024-12-13, 08:27:16.164 
-114, 2024-12-13, 08:27:27.182 
