-101, 2024-12-13, 08:36:15.286 
-105, 2024-12-13, 08:36:44.150 
-99, 2024-12-13, 08:36:59.166 
-89, 2024-12-13, 08:37:21.113 
-105, 2024-12-13, 08:37:43.092 
-109, 2024-12-13, 08:38:05.330 
-97, 2024-12-13, 08:38:34.166 
-100, 2024-12-13, 08:38:49.083 
-95, 2024-12-13, 08:39:11.139 
-102, 2024-12-13, 08:39:47.212 
-103, 2024-12-13, 08:39:55.082 
-101, 2024-12-13, 08:40:17.105 
-100, 2024-12-13, 08:40:39.089 
-101, 2024-12-13, 08:41:01.102 
-109, 2024-12-13, 08:41:30.167 
-112, 2024-12-13, 08:41:52.146 
